,compound,positive,negative,neutral
2101,0.0,0.0,0.0,1.0
2102,0.3818,0.224,0.0,0.776
2103,0.6597,0.403,0.0,0.597
2104,0.1531,0.178,0.0,0.822
2105,0.5684,0.353,0.135,0.512
2106,0.4588,0.188,0.0,0.812
2107,-0.8263,0.049,0.275,0.677
2108,0.4754,0.306,0.0,0.694
2109,0.4125,0.174,0.081,0.744
2110,0.4588,0.25,0.0,0.75
2111,0.6901,0.363,0.0,0.637
2112,-0.6932,0.08,0.369,0.551
2113,0.0772,0.14,0.0,0.86
2114,0.4404,0.364,0.172,0.464
2115,0.0,0.0,0.0,1.0
2116,0.0,0.0,0.0,1.0
2117,-0.2023,0.094,0.127,0.779
2118,0.2263,0.319,0.184,0.496
2119,0.3182,0.223,0.0,0.777
2120,0.0,0.0,0.0,1.0
2121,0.0,0.0,0.0,1.0
2122,0.0449,0.122,0.062,0.816
2123,0.6369,0.224,0.0,0.776
2124,-0.2006,0.095,0.129,0.776
2125,0.5267,0.254,0.0,0.746
2126,-0.5849,0.0,0.296,0.704
2127,0.2023,0.141,0.0,0.859
2128,0.891,0.679,0.0,0.321
2129,-0.1901,0.0,0.111,0.889
2130,0.7906,0.381,0.0,0.619
2131,0.1045,0.186,0.129,0.686
2132,0.7351,0.309,0.053,0.638
2133,0.3612,0.128,0.0,0.872
2134,0.6369,0.344,0.0,0.656
2135,0.5106,0.32,0.0,0.68
2136,-0.6023,0.0,0.176,0.824
2137,0.3182,0.247,0.0,0.753
2138,0.4168,0.1,0.0,0.9
2139,0.4215,0.203,0.0,0.797
2140,0.0,0.0,0.0,1.0
2141,0.0,0.0,0.0,1.0
2142,0.0772,0.043,0.0,0.957
2143,0.6249,0.406,0.0,0.594
2144,0.0,0.0,0.0,1.0
2145,-0.2732,0.0,0.16,0.84
2146,-0.0258,0.128,0.132,0.739
2147,0.5399,0.279,0.0,0.721
2148,0.4939,0.139,0.0,0.861
2149,0.0,0.0,0.0,1.0
2150,0.2263,0.083,0.0,0.917
2151,-0.6155,0.132,0.286,0.582
2152,0.6249,0.151,0.0,0.849
2153,0.3089,0.097,0.0,0.903
2154,0.8402,0.2,0.0,0.8
2155,0.0,0.0,0.0,1.0
2156,0.347,0.328,0.201,0.471
2157,0.8591,0.323,0.0,0.677
2158,0.5106,0.231,0.0,0.769
2159,0.0,0.0,0.0,1.0
2160,0.2732,0.149,0.0,0.851
2161,0.4939,0.286,0.0,0.714
2162,-0.296,0.0,0.18,0.82
2163,0.0258,0.073,0.0,0.927
2164,0.4404,0.293,0.0,0.707
2165,0.5574,0.265,0.0,0.735
2166,-0.081,0.146,0.161,0.693
2167,0.296,0.196,0.0,0.804
2168,0.3612,0.111,0.0,0.889
2169,0.0,0.0,0.0,1.0
2170,-0.3244,0.093,0.189,0.718
2171,0.0,0.0,0.0,1.0
2172,0.4404,0.266,0.0,0.734
2173,0.0,0.0,0.0,1.0
2174,0.4404,0.244,0.0,0.756
2175,0.7724,0.3,0.0,0.7
2176,0.0,0.0,0.0,1.0
2177,0.3182,0.108,0.0,0.892
2178,0.0,0.0,0.0,1.0
2179,0.4588,0.308,0.0,0.692
2180,0.6369,0.375,0.0,0.625
2181,-0.4404,0.058,0.142,0.8
2182,0.1027,0.256,0.167,0.577
2183,0.6659,0.119,0.0,0.881
2184,0.0,0.0,0.0,1.0
2185,0.0,0.0,0.0,1.0
2186,0.0,0.0,0.0,1.0
2187,0.4033,0.137,0.097,0.766
2188,0.8363,0.223,0.033,0.744
2189,0.7845,0.385,0.0,0.615
2190,0.8354,0.232,0.049,0.719
2191,0.9403,0.35,0.0,0.65
2192,0.9698,0.473,0.0,0.527
2193,0.7729,0.263,0.079,0.658
2194,0.3182,0.223,0.0,0.777
2195,0.9381,0.405,0.058,0.537
2196,0.2014,0.129,0.101,0.771
2197,0.9442,0.435,0.059,0.506
2198,0.9735,0.505,0.0,0.495
2199,0.7311,0.215,0.074,0.71
2200,-0.6642,0.0,0.182,0.818
2201,0.6597,0.241,0.0,0.759
2202,0.8625,0.283,0.079,0.638
2203,0.7845,0.385,0.0,0.615
2204,0.9217,0.289,0.0,0.711
2205,0.765,0.355,0.0,0.645
2206,0.6249,0.313,0.0,0.687
2207,0.9134,0.494,0.0,0.506
2208,0.8608,0.43,0.0,0.57
2209,0.8885,0.412,0.0,0.588
2210,0.802,0.217,0.0,0.783
2211,0.802,0.396,0.0,0.604
2212,0.7184,0.375,0.0,0.625
2213,0.8074,0.343,0.0,0.657
2214,0.743,0.349,0.102,0.549
2215,0.8947,0.642,0.0,0.358
2216,0.8612,0.374,0.0,0.626
2217,0.8923,0.593,0.0,0.407
2218,-0.25,0.08,0.115,0.804
2219,0.9249,0.4,0.092,0.508
2220,0.9169,0.63,0.0,0.37
2221,-0.0867,0.093,0.105,0.802
2222,0.9459,0.415,0.0,0.585
2223,0.9001,0.4,0.0,0.6
2224,0.6249,0.215,0.0,0.785
2225,0.0772,0.161,0.122,0.716
2226,0.7845,0.231,0.0,0.769
2227,0.0,0.0,0.0,1.0
2228,0.9081,0.533,0.0,0.467
2229,-0.0387,0.173,0.182,0.645
2230,0.802,0.211,0.0,0.789
2231,0.5859,0.275,0.0,0.725
2232,0.9099,0.354,0.0,0.646
2233,-0.3197,0.147,0.205,0.648
2234,0.6597,0.278,0.0,0.722
2235,0.7759,0.342,0.0,0.658
2236,0.7956,0.288,0.0,0.712
2237,0.3182,0.081,0.0,0.919
2238,0.7579,0.228,0.0,0.772
2239,0.0,0.0,0.0,1.0
2240,0.0,0.0,0.0,1.0
2241,0.1717,0.287,0.211,0.502
2242,0.1779,0.103,0.082,0.815
2243,-0.2846,0.122,0.169,0.709
2244,0.4754,0.226,0.0,0.774
2245,0.6326,0.162,0.061,0.777
2246,0.6369,0.181,0.0,0.819
2247,0.0296,0.291,0.232,0.477
2248,0.3612,0.106,0.0,0.894
2249,0.4404,0.116,0.0,0.884
2250,0.3182,0.173,0.0,0.827
2251,0.1739,0.17,0.183,0.647
2252,0.4019,0.213,0.0,0.787
2253,0.7003,0.326,0.0,0.674
2254,0.2732,0.08,0.0,0.92
2255,0.6697,0.219,0.0,0.781
2256,0.8934,0.337,0.0,0.663
2257,0.34,0.296,0.167,0.538
2258,0.4939,0.167,0.0,0.833
2259,-0.2315,0.117,0.159,0.725
2260,0.8779,0.41,0.0,0.59
2261,0.8481,0.431,0.095,0.474
2262,0.1263,0.148,0.094,0.758
2263,0.4767,0.171,0.0,0.829
2264,0.3331,0.228,0.151,0.621
2265,0.8442,0.426,0.083,0.491
2266,-0.1531,0.09,0.108,0.802
2267,-0.5256,0.0,0.253,0.747
2268,-0.0351,0.091,0.097,0.812
2269,0.8555,0.461,0.0,0.539
2270,-0.1526,0.079,0.099,0.822
2271,0.0258,0.084,0.08,0.836
2272,0.8519,0.608,0.0,0.392
2273,-0.0964,0.0,0.111,0.889
2274,0.0,0.0,0.0,1.0
2275,0.6597,0.293,0.0,0.707
2276,0.9169,0.598,0.0,0.402
2277,0.7845,0.434,0.0,0.566
2278,0.5574,0.194,0.12,0.686
2279,0.8674,0.411,0.0,0.589
2280,0.5106,0.231,0.073,0.696
2281,0.0,0.0,0.0,1.0
2282,0.4404,0.097,0.0,0.903
2283,-0.4939,0.052,0.181,0.766
2284,0.0,0.0,0.0,1.0
2285,0.0516,0.118,0.064,0.818
2286,0.4215,0.203,0.0,0.797
2287,0.8625,0.375,0.0,0.625
2288,0.0,0.0,0.0,1.0
2289,-0.34,0.105,0.159,0.736
2290,0.7906,0.438,0.0,0.562
2291,0.1027,0.246,0.194,0.56
2292,0.0,0.0,0.0,1.0
2293,0.0,0.0,0.0,1.0
2294,0.7269,0.203,0.0,0.797
2295,0.4754,0.123,0.0,0.877
2296,0.6369,0.244,0.0,0.756
2297,0.8623,0.345,0.0,0.655
2298,0.0,0.0,0.0,1.0
2299,0.296,0.178,0.121,0.701
2300,0.6369,0.244,0.0,0.756
2301,-0.0772,0.112,0.126,0.762
2302,0.0,0.0,0.0,1.0
2303,0.3182,0.113,0.0,0.887
2304,0.3182,0.119,0.0,0.881
2305,0.3818,0.11,0.0,0.89
2306,0.584,0.347,0.0,0.653
2307,-0.0194,0.168,0.172,0.66
2308,0.0772,0.126,0.0,0.874
2309,0.8478,0.387,0.0,0.613
2310,0.2263,0.177,0.133,0.69
2311,-0.0772,0.09,0.1,0.81
2312,0.5423,0.353,0.104,0.543
2313,-0.6249,0.0,0.24,0.76
2314,0.0,0.191,0.191,0.617
2315,0.6386,0.277,0.0,0.723
2316,0.5267,0.145,0.0,0.855
